bootstrap,lambda,n_train_draws,n_train_unique,n_oob,irc_joint_week,irc_decoupled_week,delta_week,delta_year
0,0.0,480,358,443,0.1363570812327804,0.053534832868217246,0.08282224836456316,4.306756914957284
0,0.25,480,358,443,0.43367156027961723,-0.025743860970340968,0.45941542124995827,23.88960190499783
0,0.5,480,358,443,0.5840638303013684,0.027384844310772302,0.5566789859905962,28.947307271511
0,0.75,480,358,443,0.7780410619715239,0.06356022777316639,0.7144808341983575,37.153003378314594
0,1.0,480,358,443,0.993787541756569,0.14594299625525708,0.8478445455013119,44.08791636606822
1,0.0,480,358,443,0.08740873462743354,0.031020713105327807,0.05638802152210573,2.932177119149498
1,0.25,480,358,443,0.3460113274076563,0.04198474614406203,0.3040265812635943,15.809382225706901
1,0.5,480,358,443,0.6216765902479721,-0.09190648284971169,0.7135830730976838,37.10631980107956
1,0.75,480,358,443,0.8457854284717888,-0.004677775944281008,0.8504632044160697,44.22408662963562
1,1.0,480,358,443,1.0233435542233869,0.06511091290771669,0.9582326413156703,49.82809734841486
2,0.0,480,356,445,0.1801702107125175,0.04941646242919532,0.1307537482833222,6.799194910732755
2,0.25,480,356,445,0.32458930730944846,0.036130892717505934,0.28845841459194255,14.999837558781012
2,0.5,480,356,445,0.5893365435220344,-0.015838611324381118,0.6051751548464154,31.4691080520136
2,0.75,480,356,445,0.84336929683509,0.07789796148288568,0.7654713353522042,39.80450943831462
2,1.0,480,356,445,1.0059391866712677,0.025820022720039512,0.9801191639512282,50.966196525463864
3,0.0,480,377,424,0.15118358344956523,0.0474793713092623,0.10370421214030293,5.3926190312957525
3,0.25,480,377,424,0.4040734487495961,-0.047647871068503905,0.4517213198181,23.4895086305412
3,0.5,480,377,424,0.6073640236366581,-0.046202842140401,0.653566865777059,33.98547702040707
3,0.75,480,377,424,0.9060287700956778,-0.041299500156831405,0.9473282702525093,49.26107005313048
3,1.0,480,377,424,1.0278735296443333,0.01650589633111371,1.0113676333132195,52.59111693228742
4,0.0,480,361,440,0.15608613757333517,0.04257927330517181,0.11350686426816334,5.902356941944493
4,0.25,480,361,440,0.4068608644993818,0.004206846277157988,0.40265401822222374,20.938008947555634
4,0.5,480,361,440,0.5914665671210078,-0.09079349657028903,0.6822600636912969,35.47752331194744
4,0.75,480,361,440,0.7169495718731997,-0.15308693622064648,0.8700365080938463,45.241898420880005
4,1.0,480,361,440,1.0131392735716849,-0.053374239968475616,1.0665135135401604,55.458702704088346
5,0.0,480,360,441,0.1587820734122206,0.053997524015479505,0.10478454939674103,5.4487965686305335
5,0.25,480,360,441,0.4047180774628942,0.002684573912083628,0.4020335035508106,20.90574218464215
5,0.5,480,360,441,0.5713223009556462,-0.029692540133121743,0.6010148410887678,31.252771736615927
5,0.75,480,360,441,0.7997923432960236,0.06900717110144594,0.7307851721945776,38.000828954118035
5,1.0,480,360,441,1.0557682673357713,0.03039312794042228,1.0253751393953492,53.31950724855816
6,0.0,480,364,437,0.13425781019571334,0.0674323376581864,0.0668254725375269,3.4749245719513984
6,0.25,480,364,437,0.41593578017596644,-0.018664715922592678,0.43460049609855905,22.599225797125072
6,0.5,480,364,437,0.5271779525770981,-0.07412867617811664,0.6013066287552147,31.26794469527116
6,0.75,480,364,437,0.7790036705657007,-0.08079464891709943,0.8597983194828003,44.709512613105616
6,1.0,480,364,437,1.0453653184217246,-0.05794309150692829,1.1033084099286532,57.37203731628997
7,0.0,480,359,442,0.14626333483648316,0.04859215582674075,0.09767117900974238,5.078901308506604
7,0.25,480,359,442,0.3403324708986073,-0.021422447866341073,0.3617549187649484,18.81125577577732
7,0.5,480,359,442,0.5739884525929385,0.03955999164553141,0.5344284609474071,27.79027996926517
7,0.75,480,359,442,0.7139913030648447,-7.217134178733118e-05,0.7140634744066321,37.13130066914487
7,1.0,480,359,442,0.8781154972599784,-0.020544954979188828,0.8986604522391671,46.73034351643669
8,0.0,480,359,442,0.19735848742769885,-0.0002196106826029531,0.19757809811030183,10.274061101735695
8,0.25,480,359,442,0.443213729526034,0.05758194570070738,0.3856317838253266,20.052852758916984
8,0.5,480,359,442,0.5791720611321464,-0.0721354700686191,0.6513075312007655,33.8679916224398
8,0.75,480,359,442,0.8333741813020886,0.10658572902868922,0.7267884522733994,37.79299951821677
8,1.0,480,359,442,1.031824179902464,-0.02033135898165358,1.0521555388841173,54.7120880219741
9,0.0,480,372,429,0.15590421662979417,0.0696269672561645,0.08627724937362968,4.4864169674287435
9,0.25,480,372,429,0.4208037599535868,0.014059160401409792,0.40674459955217696,21.150719176713203
9,0.5,480,372,429,0.5927063803997011,-0.006904818782706801,0.599611199182408,31.179782357485216
9,0.75,480,372,429,0.7758972028983743,0.09752022603055209,0.6783769768678222,35.27560279712675
