n_train,lambda,seeds,joint_mean,decoupled_mean,pooled_mean,joint_minus_decoupled_mean,joint_minus_decoupled_sd,joint_minus_pooled_mean,joint_minus_pooled_sd,joint_minus_decoupled_ci_low,joint_minus_decoupled_ci_high,joint_minus_pooled_ci_low,joint_minus_pooled_ci_high
1500,0.0,20,0.5978,0.621,0.78,-0.0232,0.1265,-0.1822,0.3089,-0.0786,0.0322,-0.3176,-0.0468
1500,0.25,20,0.6617,0.6317,0.8097,0.03,0.1455,-0.148,0.3271,-0.0338,0.0938,-0.2913,-0.0046
1500,0.5,20,0.7232,0.6423,0.8682,0.0809,0.1502,-0.145,0.3154,0.0151,0.1468,-0.2832,-0.0067
1500,0.75,20,0.7817,0.6591,0.883,0.1226,0.1562,-0.1013,0.3287,0.0542,0.1911,-0.2453,0.0428
1500,1.0,20,0.8466,0.6688,0.9375,0.1778,0.1716,-0.0909,0.3545,0.1026,0.253,-0.2462,0.0645
6000,0.0,20,0.6151,0.7276,0.7617,-0.1125,0.0935,-0.1466,0.343,-0.1535,-0.0715,-0.2969,0.0037
6000,0.25,20,0.6704,0.7417,0.7654,-0.0713,0.0991,-0.095,0.3129,-0.1148,-0.0279,-0.2322,0.0421
6000,0.5,20,0.7426,0.7655,0.8633,-0.0229,0.1151,-0.1207,0.363,-0.0733,0.0276,-0.2798,0.0385
6000,0.75,20,0.8375,0.7978,0.9453,0.0396,0.1642,-0.1078,0.4172,-0.0323,0.1116,-0.2907,0.075
6000,1.0,20,0.9566,0.8447,1.0316,0.1119,0.198,-0.075,0.5153,0.0251,0.1987,-0.3008,0.1508
12000,0.0,20,0.6276,0.7078,0.7239,-0.0802,0.0797,-0.0963,0.3,-0.1151,-0.0453,-0.2278,0.0352
12000,0.25,20,0.6644,0.7164,0.8744,-0.052,0.084,-0.21,0.3035,-0.0888,-0.0152,-0.343,-0.077
12000,0.5,20,0.6986,0.728,0.8074,-0.0295,0.1218,-0.1088,0.2337,-0.0828,0.0239,-0.2113,-0.0064
12000,0.75,20,0.754,0.7428,0.8661,0.0112,0.146,-0.1121,0.2556,-0.0528,0.0752,-0.2241,-0.0001
12000,1.0,20,0.8384,0.7614,0.9106,0.077,0.1741,-0.0722,0.3413,0.0007,0.1533,-0.2218,0.0774
